defendant_id,age,gender,race,offense_type,criminal_history,bail_set,bail_amount,judge_id,county
D021,29,Male,Hispanic,Assault,1,1,12000,J1,Urban
D010,41,Female,Asian,Theft,1,1,6000,J3,Suburban
D015,32,Male,Black,Drug Possession,2,1,18000,J2,Urban
D013,44,Female,Hispanic,Assault,1,1,9000,J1,Suburban
D020,43,Female,White,Fraud,0,0,0,J3,Suburban
D001,28,Male,White,Theft,1,1,5000,J1,Urban
D009,33,Male,Black,Assault,2,1,22000,J2,Urban
D008,29,Female,White,Fraud,0,0,0,J1,Suburban
D018,28,Female,Asian,Theft,1,1,5500,J1,Urban
D002,35,Male,Black,Assault,2,1,25000,J2,Urban
D007,38,Male,Hispanic,Drug Possession,3,1,30000,J3,Urban
D027,33,Male,White,Drug Possession,0,1,2500,J3,Suburban
D014,30,Male,White,Theft,0,0,0,J3,Suburban
D022,37,Male,Black,Theft,2,1,21000,J2,Urban
D028,35,Male,Black,Fraud,3,1,32000,J2,Urban
D026,40,Female,Hispanic,Theft,1,1,7000,J1,Suburban
D029,42,Female,White,Assault,1,1,8500,J1,Suburban
